filename,waveform,n_samples,dominant_freq_hz,dominant_amp_nm,harmonic_ratio_2,harmonic_ratio_3,harmonic_ratio_4,harmonic_ratio_5,odd_even_harmonic_ratio,thd_pct,spectral_entropy,spectral_centroid_hz,spectral_flatness,band_energy_ratio,num_spectral_peaks,rms_nm,peak_nm,crest_factor,skewness,kurtosis,zero_cross_rate,peak_density_hz,sine_residual_pct,sine_phase_lag_deg,q1_peak_nm,q1_mean_nm,q1_rms_nm,q1_sine_residual_pct,q2_peak_nm,q2_mean_nm,q2_rms_nm,q2_sine_residual_pct,q3_peak_nm,q3_mean_nm,q3_rms_nm,q3_sine_residual_pct,q4_peak_nm,q4_mean_nm,q4_rms_nm,q4_sine_residual_pct,amplitude_drift_nm,worst_quarter,fopdt_phase_lag_deg,fopdt_attenuation,v_drive_est_v,hysteresis_nm,half_cycle_asymmetry,square_duty_cycle,square_edge_sharpness,noise_kurtosis,noise_gaussianity_err,noise_autocorr_lag1,ramp_rise_linearity,ramp_fall_linearity,ramp_asymmetry,pulse_crest_factor,pulse_duty_cycle,pulse_ringing_ratio
sine-400Hz-7_absolute.csv,sine,7998,399.975,89.269058,0.0,0.0,0.0,0.0,0.0,0.0,2.0317,389.477,0.596262,0.0044,3,66.998276,83.595623,1.2477,0.1074,1.4029,776.4441,195.5489,49.5817,-3.4191,94.95,0.0,59.21,14.44,94.95,0.0,59.21,14.44,94.95,0.0,59.21,14.44,94.95,0.0,59.21,14.44,0.0,q1,32.86,0.846748,0.2598,31.65,0.3333,,,,,,,,,,,
sine-400Hz-8_absolute.csv,sine,7518,399.9734,85.432811,0.0,0.0,0.0,0.0,0.0,0.0,2.2817,385.391,0.58054,0.0093,5,67.358042,82.102463,1.2189,-0.0717,1.3835,763.767,190.8752,54.3378,-66.0953,80.04,1.52,69.37,26.45,80.04,0.3,70.08,24.82,80.04,-0.91,70.78,23.01,80.04,-0.91,70.78,23.01,0.0,q1,32.86,0.846749,0.2552,1.83,0.0228,,,,,,,,,,,
sine-400Hz-9_absolute.csv,sine,7538,399.9735,84.823447,0.0,0.0,0.0,0.0,0.0,0.0,2.0402,391.1996,0.597491,0.0057,2,63.677367,89.746643,1.4094,0.2475,1.5844,799.9469,197.0019,42.3848,119.5111,93.73,1.22,61.41,23.14,93.73,1.22,61.41,23.04,93.73,-1.22,59.22,14.59,93.73,-1.22,59.22,14.59,0.0,q1,32.86,0.846749,0.2789,26.23,0.2798,,,,,,,,,,,
Square-100Hz-10_absolute.csv,square,9397,100.0319,387.193572,0.025872,0.567432,0.038307,0.0,150.685021,56.9312,2.0873,146.3742,0.340565,0.3545,2,327.725071,527.083452,1.6083,0.0704,1.7449,200.0639,99.9255,,,522.22,-20.69,330.23,,522.22,20.69,330.64,,522.22,-20.69,330.23,,522.22,20.69,330.64,,0.0,q1,9.11,0.987879,1.4041,,,0.4763,0.916578,,,,,,,,,
Square-100Hz-1_absolute.csv,square,7614,99.9475,351.147484,0.020457,0.668322,0.023441,0.129614,478.788674,68.1485,2.2308,159.8692,0.326607,0.7056,2,322.57091,528.407721,1.6381,-0.0414,1.4815,199.8949,99.9475,,,474.74,-23.13,314.51,,474.74,23.13,314.51,,474.74,-23.13,314.51,,474.74,23.13,314.51,,0.0,q1,9.102,0.987899,1.4076,,,0.4997,0.996815,,,,,,,,,
Square-100Hz-2_absolute.csv,square,9725,100.0514,340.814293,0.032719,0.606784,0.040033,0.0,137.732049,60.8983,2.1709,156.7912,0.301279,0.5434,2,333.591802,500.518505,1.5004,-0.0045,1.3296,200.0,99.9486,,,484.79,-8.83,342.76,,484.79,5.78,342.05,,484.79,-6.39,344.09,,484.79,9.43,344.05,,0.0,q1,9.112,0.987874,1.3333,,,0.4999,1.00811,,,,,,,,,
Square-100Hz-3_absolute.csv,square,8066,100.0496,346.893773,0.015986,0.641668,0.033284,0.0,301.996782,64.273,2.1382,153.4766,0.210081,0.471,2,320.557679,521.603495,1.6272,0.0095,1.5809,199.9752,100.0496,,,443.09,8.52,318.04,,443.09,-8.52,319.68,,443.09,8.52,318.04,,443.09,-8.52,319.68,,0.0,q1,9.112,0.987875,1.3895,,,0.5001,0.968729,,,,,,,,,
Square-100Hz-4_absolute.csv,square,7953,99.9623,372.34901,0.012098,0.648413,0.013508,0.025641,1280.59366,64.9174,2.1226,155.2208,0.297527,0.8893,2,328.472261,518.8078,1.5795,0.0333,1.7633,200.0503,99.9623,,,522.22,-19.48,327.91,,522.22,19.48,329.15,,522.22,-19.48,327.91,,522.22,19.48,329.15,,0.0,q1,9.104,0.987896,1.382,,,0.4999,0.996699,,,,,,,,,
Square-100Hz-5_absolute.csv,square,7809,100.0128,397.022707,0.022644,0.528193,0.01114,0.0,438.073374,52.8795,2.09,147.6218,0.297401,0.2051,2,323.902482,522.983511,1.6146,-0.0404,1.7334,199.8976,100.0128,,,531.96,28.0,323.83,,531.96,-25.56,328.21,,531.96,23.13,325.87,,531.96,-25.56,327.91,,0.0,q1,9.108,0.987884,1.3932,,,0.5001,0.917638,,,,,,,,,
Square-100Hz-6_absolute.csv,square,7463,99.9598,363.819536,0.060862,0.608116,0.018194,0.142051,96.645583,62.7709,2.1612,153.5622,0.190209,0.9082,3,319.164884,535.377712,1.6774,-0.0272,1.5034,199.9196,100.0938,,,510.35,19.17,318.27,,518.26,-21.0,328.5,,518.26,22.82,323.71,,518.26,-21.0,328.5,,7.91,q2,9.103,0.987896,1.4262,,,0.5002,0.938539,,,,,,,,,
