filename,waveform,n_samples,dominant_freq_hz,dominant_amp_nm,harmonic_ratio_2,harmonic_ratio_3,harmonic_ratio_4,harmonic_ratio_5,odd_even_harmonic_ratio,thd_pct,spectral_entropy,spectral_centroid_hz,spectral_flatness,band_energy_ratio,num_spectral_peaks,rms_nm,peak_nm,crest_factor,skewness,kurtosis,zero_cross_rate,peak_density_hz,sine_residual_pct,sine_phase_lag_deg,q1_peak_nm,q1_mean_nm,q1_rms_nm,q1_sine_residual_pct,q2_peak_nm,q2_mean_nm,q2_rms_nm,q2_sine_residual_pct,q3_peak_nm,q3_mean_nm,q3_rms_nm,q3_sine_residual_pct,q4_peak_nm,q4_mean_nm,q4_rms_nm,q4_sine_residual_pct,amplitude_drift_nm,worst_quarter,fopdt_phase_lag_deg,fopdt_attenuation,v_drive_est_v,hysteresis_nm,half_cycle_asymmetry,square_duty_cycle,square_edge_sharpness,noise_kurtosis,noise_gaussianity_err,noise_autocorr_lag1,ramp_rise_linearity,ramp_fall_linearity,ramp_asymmetry,pulse_crest_factor,pulse_duty_cycle,pulse_ringing_ratio
noise-3_absolute.csv,noise,9398,2.3409,5.086051,0.516498,0.590859,0.358509,0.411074,1.310646,95.5717,9.8244,87.7435,0.724548,4.5237,605,39.152425,45.235996,1.1554,0.2899,1.084,44.1583,19.2594,,,54.78,14.61,42.17,,54.78,-9.74,32.21,,54.78,0.0,36.52,,54.78,-4.87,34.43,,0.0,q1,0.215,0.999993,0.119,,,,,1.084,1.916,0.909818,,,,,,
noise-40_absolute.csv,noise,15552,1.9933,5.494418,0.45201,0.267829,0.255871,0.406857,0.879467,71.2073,9.5619,59.0977,0.685685,6.9781,299,35.006628,174.900057,4.9962,0.8866,3.2093,14.4033,5.9156,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.183,0.999995,0.4603,,,,,3.2093,0.2093,0.957623,,,,,,
noise-41_absolute.csv,noise,7270,1.9257,7.298291,0.584183,0.505571,0.597166,0.463447,0.674022,108.0862,8.858,55.908,0.649072,6.5735,232,39.538101,40.921938,1.035,0.0688,1.0047,16.7813,8.2531,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.177,0.999995,0.1077,,,,,1.0047,1.9953,0.966393,,,,,,
noise-42_absolute.csv,noise,10497,38.773,5.418113,0.157464,0.098828,0.058525,0.075052,0.545701,20.8854,9.7343,71.7611,0.675717,7.2712,504,123.414536,495.004534,4.0109,-1.3164,3.2429,4.8585,8.1928,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,3.555,0.99815,1.3051,,,,,3.2429,0.2429,0.993733,,,,,,
noise-43_absolute.csv,noise,11018,7.1701,1.405709,0.410203,0.307789,0.191835,0.554952,1.963776,77.9598,10.7112,105.1971,0.723569,1.6922,732,9.622215,158.427532,16.4648,-0.9029,72.5525,6.3532,1.2706,,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,q1,0.658,0.999937,0.4169,,,,,72.5525,69.5525,0.693145,,,,,,
noise-44_absolute.csv,noise,13232,2.7207,2.984944,0.492194,0.624753,0.635224,0.591148,1.145576,117.7089,10.605,89.7648,0.732861,2.6897,762,15.468571,80.547182,5.2072,2.1305,25.5513,10.5804,4.7612,,,74.56,-11.26,33.59,,74.56,2.13,13.83,,4.56,4.56,4.56,,4.56,4.56,4.56,,69.99,q1,0.25,0.999991,0.212,,,,,25.5513,22.5513,0.794352,,,,,,
noise-45_absolute.csv,noise,11172,2.0587,6.327302,0.432553,0.36682,0.358644,0.395872,0.92254,77.9101,9.6861,71.7642,0.688611,5.5986,383,82.993476,201.740705,2.4308,-0.7441,2.9713,15.5747,7.9663,,,12.78,12.78,12.78,,66.34,-18.87,43.11,,66.34,-0.61,29.67,,66.34,6.7,22.12,,53.56,q2,0.189,0.999995,0.5309,,,,,2.9713,0.0287,0.988891,,,,,,
noise-46_absolute.csv,noise,9580,2.2965,10.143288,0.270916,0.229607,0.149087,0.157161,0.809635,41.5982,9.1537,63.8564,0.668222,6.169,222,39.934517,119.355003,2.9888,-0.046,1.1496,20.2505,10.0209,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.211,0.999993,0.3141,,,,,1.1496,1.8504,0.957378,,,,,,
noise-47_absolute.csv,noise,13340,2.1739,3.39009,0.597072,0.417994,0.734188,0.324492,0.312682,108.4224,10.1168,69.0614,0.688041,5.2508,746,36.815988,145.786264,3.9599,-0.7905,4.5864,12.1439,2.9235,,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,q1,0.2,0.999994,0.3837,,,,,4.5864,1.5864,0.954783,,,,,,
noise-48_absolute.csv,noise,8299,9.7602,4.161115,0.372708,0.342551,0.438412,0.215698,0.494892,70.355,9.4549,73.317,0.698518,4.6474,506,36.214478,55.488817,1.5322,0.8796,1.7737,27.5937,12.5316,,,14.3,-14.3,14.3,,64.82,-7.0,23.95,,64.82,7.61,36.21,,64.82,13.69,40.24,,50.52,q2,0.896,0.999882,0.146,,,,,1.7737,1.2263,0.934128,,,,,,
noise-49_absolute.csv,noise,8480,37.5,8.057649,0.138134,0.079789,0.097242,0.053232,0.322382,19.426,9.1226,71.9716,0.674015,5.4287,314,39.534173,41.045578,1.0382,0.0751,1.0056,37.3821,16.9811,,,47.78,13.09,35.81,,47.78,-0.3,38.76,,47.78,4.56,37.72,,47.78,-17.35,42.22,,0.0,q1,3.439,0.99827,0.1082,,,,,1.0056,1.9944,0.925122,,,,,,
noise-4_absolute.csv,noise,7794,37.593,7.935249,0.17167,0.181374,0.11906,0.049229,0.809242,28.1008,8.464,70.4481,0.658106,5.3477,237,23.772052,71.184303,2.9945,-2.6605,8.0783,20.272,10.0077,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,3.447,0.998261,0.1877,,,,,8.0783,5.0783,0.887709,,,,,,
noise-50_absolute.csv,noise,12108,2.1473,7.819315,0.164701,0.191149,0.257117,0.374453,1.895772,51.9604,9.4566,65.0331,0.668537,6.9113,317,36.243751,55.422089,1.5291,-0.8752,1.766,29.815,14.1229,,,73.65,-3.04,14.0,,73.65,5.48,27.87,,73.65,3.04,24.72,,5.48,-5.48,5.48,,68.17,q1,0.197,0.999994,0.1458,,,,,1.766,1.234,0.928943,,,,,,
noise-5_absolute.csv,noise,8498,1.8828,5.266716,0.756808,0.292618,0.27642,0.217168,0.204551,88.4281,9.1659,76.0824,0.687358,5.7453,422,39.067064,45.800301,1.1724,-0.3194,1.102,17.8866,8.5903,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.173,0.999996,0.1205,,,,,1.102,1.898,0.963309,,,,,,
noise-6_absolute.csv,noise,8448,1.8939,2.9502,0.585571,0.211643,0.172273,0.130828,0.166167,65.9151,9.5813,78.9943,0.67375,4.2813,196,9.812802,77.886703,7.9373,-7.8113,62.0159,5.2083,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.174,0.999996,0.205,,,,,62.0159,59.0159,0.830688,,,,,,
noise-7_absolute.csv,noise,6854,2.4803,13.931375,0.350039,0.409,0.389656,0.308827,0.95734,73.2812,8.4588,61.6715,0.685696,5.2921,155,35.660342,56.693604,1.5898,0.9608,1.9232,48.0012,21.0096,,,54.17,17.65,28.92,,24.95,24.95,24.95,,54.17,-11.56,41.11,,54.17,-31.04,47.53,,29.22,q1,0.228,0.999992,0.1492,,,,,1.9232,1.0768,0.881816,,,,,,
noise-8_absolute.csv,noise,8980,1.8931,2.427328,0.522433,0.405239,0.506623,0.323458,0.507633,89.3558,9.4933,82.173,0.719878,3.9437,360,36.331777,55.219387,1.5199,0.8619,1.7429,12.6949,5.4566,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,q1,0.174,0.999996,0.1453,,,,,1.7429,1.2571,0.969893,,,,,,
noise-9_absolute.csv,noise,684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0,,,,,,,,,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,-0.0,0.0,,0.0,q1,,,,,,,,,,,,,,,,
noise_10_Run1_1_absolute.csv,noise,26307,120.0441,27.472489,0.708468,0.314367,0.025357,0.0,0.196642,77.5498,6.2436,188.1531,0.753164,0.054,30,32.444619,95.049859,2.9296,-1.3285,3.2682,208.5377,104.2308,,,70.6,-3.65,28.78,,70.6,2.43,21.22,,70.6,-3.65,28.78,,70.6,4.87,17.3,,0.0,q1,10.895,0.982682,0.2545,,,,,3.2682,0.2682,0.360191,,,,,,
noise_10_Run2_1_absolute.csv,noise,22206,120.0126,33.559585,0.564249,0.152972,0.064572,0.0,0.072549,58.8173,5.7048,178.7365,0.737926,0.0531,23,34.047736,98.497016,2.8929,-1.1817,2.4122,221.2015,110.5557,,,61.78,2.74,30.82,,61.78,-2.13,34.15,,61.78,-2.13,34.15,,61.78,1.52,31.69,,0.0,q1,10.892,0.982691,0.2638,,,,,2.4122,0.5878,0.401954,,,,,,
noise_10_Run3_1_absolute.csv,noise,21730,120.0184,38.137676,0.552092,0.124249,0.09916,0.0,0.049065,57.4522,5.0192,176.9664,0.737253,0.036,17,36.123637,102.500718,2.8375,-0.8923,1.809,237.5978,118.7759,,,52.95,-1.83,37.88,,52.95,0.61,37.01,,52.95,0.61,37.01,,52.95,0.61,37.01,,0.0,q1,10.892,0.982689,0.2745,,,,,1.809,1.191,0.429339,,,,,,
noise_11_Run1_1_absolute.csv,noise,23077,119.9896,50.629878,0.116565,0.171092,0.172596,0.0,0.674845,26.9535,4.8365,159.6036,0.74072,0.0328,19,50.124083,94.121113,1.8778,-0.1788,2.3838,237.4225,118.6896,,,96.47,2.13,48.19,,96.47,-0.3,50.98,,96.47,-0.3,44.96,,96.47,-1.52,48.5,,0.0,q1,10.89,0.982697,0.252,,,,,2.3838,0.6162,0.514125,,,,,,
noise_11_Run2_1_absolute.csv,noise,17391,120.0621,34.540258,0.394578,0.182631,0.113343,0.0,0.197902,44.9325,6.3082,172.606,0.741171,0.0642,35,40.179135,97.008909,2.4144,0.3027,2.8795,221.8964,110.9194,,,60.26,0.61,34.09,,97.99,-3.04,39.86,,97.99,3.04,45.09,,97.99,-0.61,45.55,,37.74,q2,10.896,0.982677,0.2598,,,,,2.8795,0.1205,0.45354,,,,,,
